Name,Id,Latitude,Longtitude,Categories,City,Longtitude_equidistant,Neighborhood_label
McDonald's,4be54e96bcef2d7f21a303e5,53.26160182099351,-2.5148670859740747,Fast Food Restaurant,"Manchester, England-0-1",-1.5042987870727822,77
Specsavers,4e428ffd1f6ec93e9255e32b,53.26164169724822,-2.51474529504776,Optical Shop,"Manchester, England-0-1",-1.504224533766492,77
Costa Coffee,4c08f2e4340720a1b5dc8393,53.262435652467225,-2.512416244902293,Coffee Shop,"Manchester, England-0-1",-1.5028034850390564,77
Boots,4ba4ddb3f964a520c0bc38e3,53.26222044939167,-2.5124598363675554,Pharmacy,"Manchester, England-0-1",-1.5028371217941277,77
New Look,57e28e44498ebfb494f73893,53.262061,-2.5126921,Clothing Store,"Manchester, England-0-1",-1.5029816548873378,77
WHSmith,4e04907152b1ec89863b1686,53.26195147517691,-2.5123074334264857,Stationery Store,"Manchester, England-0-1",-1.5027554128813063,77
Iceland,4e05ce03d4c03ae0b9bf33a0,53.26205562913728,-2.511277198791504,Grocery Store,"Manchester, England-0-1",-1.502135512002146,77
Subway,4bc767bb6501c9b6995e3e29,53.26200816823063,-2.5110826182632078,Sandwich Place,"Manchester, England-0-1",-1.502020789404307,77
Charlies Cafe,4d3ab5256de7721e9132f149,53.262252766873424,-2.5103366443497617,Café,"Manchester, England-0-1",-1.5015659919409203,77
Bratts Department Store,4e5df0a5d22d7239c19b6f16,53.26177059294712,-2.5134439879444987,Department Store,"Manchester, England-0-1",-1.503441610302365,77
Firthfield Pet Store Ltd,4d79f805b359f04d5b6ecf14,53.26219474907313,-2.5103806341317862,Pet Store,"Manchester, England-0-1",-1.5015943416955606,77
The Works,4dc2bb631f6ebdce472f2752,53.26223971993211,-2.5110216234742206,Discount Store,"Manchester, England-0-1",-1.501976172644085,77
The Penny Black (Wetherspoon),4c266342905a0f47dd366360,53.26212892271373,-2.508499632009165,Pub,"Manchester, England-0-1",-1.5004715222240308,77
The Quayside,4c266c95a852c928a6a2e66c,53.262349546007634,-2.507987169903401,Pub,"Manchester, England-0-1",-1.500157251315879,77
Witton Chimes,4c4b5c70f7b49c74ec6915c2,53.26216953992317,-2.5078895688056946,Pub,"Manchester, England-0-1",-1.5001051851497835,77
ArtWork Studios & Gallery,58126f9e38fa50b22a94c4c0,53.26248100000001,-2.501605,Art Gallery,"Manchester, England-0-1",-1.496335144866602,77
Tesco Petrol Station,4f8036b3e4b024a26cfa1926,53.261909,-2.497762,Gas Station,"Manchester, England-0-1",-1.49405643737388,637
Costa Coffee,4cd1350d6449a09302b8cecf,53.26255692369791,-2.4949788287939394,Coffee Shop,"Manchester, England-0-1",-1.492369050765889,637
Tesco,4bc0429074a9a5931fdacff6,53.262514479184816,-2.494320273399353,Supermarket,"Manchester, England-0-1",-1.4919766173115305,637
Ryman,50d326d4498ebcf929c52905,53.262041016426714,-2.4738454600896493,Stationery Store,"Manchester, England-0-1",-1.4797459987017272,637
MotoServ Ltd,54d8f696498ee7bd1458bd3b,53.261280000000006,-2.537489,Auto Garage,"Manchester, England-0-1",-1.51784178585731,77
Charlies Cafe,4d3ab53e1fc36dcbe43569f5,53.26144,-2.523051,Café,"Manchester, England-0-1",-1.5091998067493637,77
Vita Bella,56a4d8ad498ee3d1298477dc,53.26059758983579,-2.514799706580954,Italian Restaurant,"Manchester, England-0-1",-1.504293805427691,77
Greggs,4f950f2ce4b01970bd00dd58,53.2614104028208,-2.5125861003059744,Bakery,"Manchester, England-0-1",-1.5029411142693798,77
The Seafarer,4c866ec2d4e2370457238b88,53.26078915897472,-2.5117054890749695,Fast Food Restaurant,"Manchester, England-0-1",-1.5024361877743067,77
Lidl,4d7a2fcd7418a143ed25c85b,53.261062664698,-2.507679249319,Supermarket,"Manchester, England-0-1",-1.5000182041557413,77
Pets at Home,4c0cd82fc700c9b6136ba1dd,53.261072837480185,-2.5064882478979515,Pet Store,"Manchester, England-0-1",-1.4993054263465166,77
B&M Stores,4c0cd612b1b676b0e995df86,53.2610874,-2.5062387000000004,Discount Store,"Manchester, England-0-1",-1.4991556438762776,77
Harrys Fish Bar,505b68d08acadf4306cf8f83,53.261356113996925,-2.4987030029296875,Fish & Chips Shop,"Manchester, England-0-1",-1.4946386283575355,637
Northwich Railway Station (NWI),5069996a3d7cfe42e733abf5,53.26129980223522,-2.496871038220263,Train Station,"Manchester, England-0-1",-1.4935447763181515,637
Verdin Park,4cd5a577b2a43704f2907f44,53.2602201797149,-2.519516944885254,Park,"Manchester, England-0-1",-1.50712884555663,77
Northwich Indoor Market,50b9f21ce4b04656295b59d6,53.26104498253346,-2.513810450804248,Market,"Manchester, England-0-1",-1.5036863259291142,77
Northwich Bus Interchange,4d58d195700b8eecae8c68dc,53.260600432261896,-2.5138708949089046,Bus Station,"Manchester, England-0-1",-1.503738112276363,77
Bombay Quay,57f94c5f498ee867e3ef12f9,53.258648,-2.515331,Indian Restaurant,"Manchester, England-0-1",-1.5046801993726837,77
Northwich Marina,4d9f0e499bf0a35dcedc070b,53.25872107229872,-2.514893607987486,Harbor / Marina,"Manchester, England-0-1",-1.5044159796594632,77
The Salty Dog,592eb23a04d1ae31219420c9,53.260865163051605,-2.515104711055756,Pub,"Manchester, England-0-1",-1.5044668393610627,77
Waitrose & Partners,5283a21b11d25e434006bd1d,53.2584736774576,-2.5144528953159124,Supermarket,"Manchester, England-0-1",-1.5041610443994478,77
Northwich Cricket Club,4dc43cf41f6ef43b89f709c5,53.257466,-2.529107,Cricket Ground,"Manchester, England-0-1",-1.5129628627005811,77
Kwik-Fit,4e197315aeb7eb0120d51acc,53.25771700000001,-2.514824,Auto Garage,"Manchester, England-0-1",-1.504409655576679,77
Well Northwich - Drillfield Road,4d3f1048fb4c54818c95eb14,53.257953802266634,-2.511459588954949,Pharmacy,"Manchester, England-0-1",-1.502388691070689,77
The Salthouse NW Bar,597c844758aa7f16eb559b25,53.25834,-2.514735,Bar,"Manchester, England-0-1",-1.5043345027381512,77
Griffiths Park,4c8288932f1c236a06593a43,53.257668,-2.4834144115448,Park,"Manchester, England-0-1",-1.4856216178656696,637
Brio Leisure Moss Farm Leisure Complex,4ba60e28f964a520983039e3,53.256574717918454,-2.5327348709106445,Gym / Fitness Center,"Manchester, England-0-1",-1.5151646995898949,77
Cheshire FA,517eb4dd498ea18a0483250c,53.256714,-2.5315830000000004,Soccer Field,"Manchester, England-0-1",-1.5144706813740647,77
Castle Hill,4d4b12c07110224b2f60c3a2,53.25628598,-2.52393865,Chinese Restaurant,"Manchester, England-0-1",-1.5099127051895473,77
Castle Cafe,52ac535e11d2a9bf4a052fef,53.25635301934433,-2.5235111091679916,Café,"Manchester, England-0-1",-1.5096545685581586,77
The Indian,4bec4bd0976ac92892cd600b,53.256883,-2.521931,Indian Restaurant,"Manchester, England-0-1",-1.5086905977971183,77
Tesco Express,4d42fcd8f2a6a093a77fdc68,53.25639741090703,-2.523155361413956,Grocery Store,"Manchester, England-0-1",-1.5094401810413642,77
Ye Olde Chippy,4d7fbd88b25d6dcbb8b1d342,53.25646164380287,-2.522448831739009,Fish & Chips Shop,"Manchester, England-0-1",-1.509015244147948,77
Pizza Hut Delivery,5830ee56dfa6ff0f039a1a7e,53.25645314492946,-2.523064651869845,Pizza Place,"Manchester, England-0-1",-1.5093839487302088,77
Happy Chef,4f258b22e4b050258c583ace,53.256995491248105,-2.4853658980533737,Chinese Restaurant,"Manchester, England-0-1",-1.4868124073559872,637
Co-op Food,504f657a7e27022f969b6359,53.25707348040842,-2.484447475506012,Grocery Store,"Manchester, England-0-1",-1.486260272516176,637
The Iron Bridge,4c014cf16f422d7f5307411e,53.2556346,-2.5256285,Pub,"Manchester, England-0-1",-1.5109466437911665,77
Williamson's,4d9c4679954e8cfa1ea8c892,53.255993603928225,-2.524497739817384,Bakery,"Manchester, England-0-1",-1.5102574960678778,77
Cheshire Sunblind Co,590d28270d2be707b916b36e,53.2557326,-2.5262717999999995,Furniture / Home Store,"Manchester, England-0-1",-1.5113280328464402,77
Claire Accessories,516041b5e4b08cccf8c132f7,53.255010278431776,-2.512547704709104,Accessories Store,"Manchester, England-0-1",-1.503143051103739,77
Brio Leisure Rudheath Leisure Centre,4c97aa0b72dd224b4f83b691,53.25572317350878,-2.484508952125513,Gym,"Manchester, England-0-1",-1.4863439692720584,637
Central Chippy,5107c876e4b0daeeb728b933,53.25554290101442,-2.4815153368242795,Fish & Chips Shop,"Manchester, England-0-1",-1.4845593116165323,637
Ashton Tree Services,57751b2c498ea1b225d8e195,53.25594,-2.4792256,Construction & Landscaping,"Manchester, England-0-1",-1.4831757144816953,637
Hartford Golf Club,4bfa55fc508c0f475ff43f31,53.254994199932526,-2.5475723856295462,Golf Course,"Manchester, England-0-1",-1.5240972980539063,680
Winnington Park RFC,4f8aab09e4b0cec3ac55da76,53.25415280735986,-2.537936346976024,Rugby Pitch,"Manchester, England-0-1",-1.5183623564214666,680
ArtWork Studios & Gallery,54159b83498e2ddcc31a9492,53.25495600000001,-2.518512,Art Gallery,"Manchester, England-0-1",-1.5067131296114322,77
