0,1,2,3,4
Raatin harjoituskenttä,501a9206e4b055b53233c7c8,65.02011526882688,25.46330931729063,Soccer Field
Raatin liikuntakeskus,5332d6ee498e7ccf90094ff8,65.01982304966326,25.464398860931396,Recreation Center
Raatin stadion,4dfca0f352b18923030ca7a6,65.01992341508644,25.46521498793693,Track Stadium
Raatti P,50f2f971e4b041967d9bc5cd,65.020097817576,25.46817381935775,Bus Station
Hupisaarten koira-aitaus,4eda64f3d3e346be34528f96,65.02057515811202,25.482112169265747,Dog Run
Rupelipuisto,4f1a9335e4b0065cb9dd315c,65.02095794677734,25.49469184875488,Park
Upseerikerho,4ba9b917f964a520a7353ae3,65.02022069698027,25.497604844237348,Restaurant
Tuuma ja Tikki,506160bde4b087ebeb9b3471,65.01852719865141,25.453219413757324,Arts & Crafts Store
Raatin venesatama,4d877d195e70224b138a4a09,65.0185996954741,25.46306848526001,Harbor / Marina
Ainolan puisto,4bee90252c082d7fa1893042,65.01870798010371,25.47861054422671,Park
Kahvila Kiikku,51d27ee5498e8a9501f55c03,65.01865804855282,25.477159487222213,Café
Oulun taidemuseo,4bc468dc2a89ef3b6035f688,65.01888329249442,25.483001370624052,Art Gallery
Ravintola Hilikku,4cf0f70c1c158cfad198cdb5,65.01914325545941,25.484418151981064,Restaurant
Restaurant Artteli,4b6d5d29f964a520f9722ce3,65.0192382759092,25.498984752094568,Restaurant
Classic Gym,5237046e11d25d0fa412d1cf,65.01864809839826,25.502397312931507,Gym
Oulun Tähtisirkus,4fa3fb2fe4b098f42a1d186b,65.01942621375107,25.509923883875874,Performing Arts Venue
K-Market,4d2f463073e5a093a10259cf,65.01926272260323,25.509936973502175,Grocery Store
Lainesauna,4fe19886e4b037e5ac779681,65.01926278577513,25.52296345116086,Boat or Ferry
Saunalautta,4ff68d35e4b04619c71275da,65.019476,25.522313,Sauna / Steam Room
Aleniuksen puutarha,4c1df9a4b306c928815966b7,65.01849519803814,25.43152906000614,Garden Center
Oulun Paitapaino,4e465c9662845e1d3c8fefd2,65.01742159770997,25.45760214328766,Clothing Store
Turusen Saha,56463954498eb7f01083b504,65.01762,25.457566,Bed & Breakfast
Heineken Style Nuggets,4e317d2818380c94acab4c55,65.018907,25.463171,Music Venue
