Name,Id,Latitude,Longtitude,Categories,City
Infrapunasauna Onkiniemi,4f747ac6e4b0fd526147fa06,61.500930485125714,23.730587690938282,Gym / Fitness Center,"Tampere, Finland"
ELIXIA Onkiniemi,4cbf144d9ca85481ae72b416,61.501059,23.731429,Gym / Fitness Center,"Tampere, Finland"
Pizza Service Amuri,4b828620f964a520a0d630e3,61.50041653183006,23.737072839244398,Pizza Place,"Tampere, Finland"
Punanaamio,4bd80f6335aad13a67ff8ff3,61.5012757814845,23.756150953824523,Costume Shop,"Tampere, Finland"
Fantasiapelit,4b63f004f964a520de972ae3,61.50092244842371,23.756100843835448,Hobby Shop,"Tampere, Finland"
Bar Alanya,4c815faadc018cfacf23c56c,61.50036111134053,23.75492580347697,Bar,"Tampere, Finland"
Finnkino Plevna,4b534271f964a520a19427e3,61.501048326425455,23.758320808410645,Multiplex,"Tampere, Finland"
Mallashovi,4c093df7340720a1ae708493,61.50076158622275,23.75745860132059,Bar,"Tampere, Finland"
Day Spa Studio Feel It,4e7b335fa809d757abef7a3d,61.500652485157424,23.757394341517205,Salon / Barbershop,"Tampere, Finland"
Pancho Villa,4b597698f964a520108928e3,61.500575025838344,23.75681160789562,Mexican Restaurant,"Tampere, Finland"
Panimoravintola Plevna,4b50e753f964a520ed3727e3,61.500720812498386,23.758494887077607,Brewery,"Tampere, Finland"
Nostalgia,4b6190c1f964a520ea172ae3,61.50129250234726,23.759498066128124,Café,"Tampere, Finland"
Siperia,4b540275f964a5206ab027e3,61.50113721371889,23.75947449516615,Shopping Mall,"Tampere, Finland"
Pala Café,4badfe18f964a520c5783be3,61.50120092677586,23.75956218192601,Café,"Tampere, Finland"
fabric,555e0408498e9137bb6bbcbf,61.50127166741368,23.759643876698853,Bistro,"Tampere, Finland"
Speakeasy,4bed6379bac3c9b6892efee9,61.50115781939198,23.759632864700645,Wings Joint,"Tampere, Finland"
Restaurant Tivoli smørrebrød & øl,4b56d6c1f964a520a31c28e3,61.50112713950963,23.759635131994727,Sandwich Place,"Tampere, Finland"
Classic American Diner,4b543132f964a52037b427e3,61.50105532043445,23.759784868602058,Burger Joint,"Tampere, Finland"
Taj,53105baf498e43d4c49e0a0b,61.50101486700088,23.75965876092463,Indian Restaurant,"Tampere, Finland"
Vakoilumuseo / Spy Museum,4da817136a2364c7a34bcbc8,61.501237381356276,23.76078121513819,Museum,"Tampere, Finland"
Megazone,4c4aaba45609c9b6f3c00590,61.500774660412034,23.75949211657155,Laser Tag,"Tampere, Finland"
Tampereen Teatteri (Frenckell-näyttämö),4b9fdf4af964a520544637e3,61.50076982260497,23.760806770127353,Theater,"Tampere, Finland"
