0,1,2,3,4
il gradino,5bca038192e7a9002cc9a9e0,59.861949,17.654953,Italian Restaurant
Moebius,4bcc4b78937ca59326ceaa92,59.861894,17.665951,Café
Giraffparken,4dc4e9b745dd264552637e58,59.861549138211295,17.611749205887648,Park
Familjens Deli,4cd7f3c87bb06dcb939e9fb2,59.86112,17.616323,Café
Ekonomikum (B),501a9595e4b04a2411981628,59.861227493662234,17.620205213480883,Bus Stop
Luthagens Kök & Bar,4cb09dce39458cfaec5d04a0,59.86164898112861,17.622044565551533,Diner
ICA Supermarket Luthagens Livs,4c2fa15c452620a1c1e41d0f,59.86151403011142,17.626962235973235,Grocery Store
Messob,4d52dd3babb45941d012cf18,59.86141057855864,17.628979682922363,Ethiopian Restaurant
Uppsala Livs & Video,4eabf69e8b8180c90c0aa8ae,59.861018,17.628053,Video Store
Basilico,4be2b08dd27a20a1af0e905b,59.8615514,17.63332719999994,Italian Restaurant
Café Linné Konstantina,4c07ee36ffb8c9b6726a6761,59.86146790594964,17.633505436204715,Café
Café Linné Hörnan,4bbe410b8ca376b0928ec77a,59.86145259869963,17.63357662748704,Café
Hugos Kaffe och Deli,4bb3268fa32876b0b15501fe,59.861131657544725,17.63428814824689,Coffee Shop
Crêperie Lemoni,4c5bd2c19b28d13aea1e5570,59.861330237864735,17.635171163789824,Creperie
Los Vegos,5971d3aa033693233b2815cd,59.861095,17.63452,Vegetarian / Vegan Restaurant
Hava Skafferi och Salonger,57bdb224cd10511464d0ff4d,59.861029,17.63477,Seafood Restaurant
The Uppsala English Bookshop,4c1f5664b306c928ee3c68b7,59.8608804,17.6348505,Bookstore
Mikaku Sushi,4e5787f014954ed2832b8060,59.86102138533725,17.637250162027325,Sushi Restaurant
Texas Longhorn,548373df498e2f6041c1a078,59.86091767567523,17.637098729610447,Steakhouse
Sherlock's Monastery St. Pub,536bd04a498eeda9e6bf9367,59.86125153583478,17.638292391693703,Pub
Plock,4b6dde03f964a5200c972ce3,59.86067157036292,17.637847839081942,Cocktail Bar
Uppsala Konsert & Kongress,4adcdaf2f964a520d95b21e3,59.86126281977421,17.645883592290275,Concert Hall
Cirkuslekparken,5394801a498e085ff3b536b7,59.861197,17.665475,Playground
Årsta IP,4d989e6561a3a1cdaba9d142,59.860946,17.692138,Soccer Field
E P G:s Parti o. Lagerförsäljning,4f969f5ee4b0d010ab922c6a,59.86066413866424,17.594050165719146,Clothing Store
Ekonomikum (F),5a1455f7f96b2c6a192ced4a,59.860455,17.618559,Bus Stop
Biotopia,4cc7cfed3477b60c0731786a,59.86014652490102,17.62252094427673,Museum
Aaltos,5172eee1e4b0fcf8f750c01e,59.86043420110916,17.62869332168061,Italian Restaurant
Café Tar,4c1f533cb4e62d7f0f6ddf93,59.86022005747178,17.62974143028259,Coffee Shop
Palermo,4c6d0116e6b7b1f72f79a88e,59.85995533227345,17.630393599860913,Dive Bar
Borgen Grand Café & Festsalar,5089109fe4b02278ad800754,59.86049495926326,17.63160130583673,Scandinavian Restaurant
Churchill Arms,520e3ca411d22902499200d2,59.860602537217396,17.63425827026367,Pub
Café Årummet,4c0cedb37189c928f126d6b6,59.86009142232074,17.633985859944143,Café
Kardemumma,4c46f1ab19fde21e4cb20676,59.86056570040836,17.635475781944795,Café
Webhallen,4c343905452620a180cd240f,59.860423,17.635384,Electronics Store
Meza Grill & Bar,4dcc291045ddfe3daf48deae,59.859723008000394,17.63412862782391,Middle Eastern Restaurant
Clarion Hotel Gillet,4b2ec8def964a5209fe624e3,59.86057254566979,17.63756814762019,Hotel
