0,1,2,3
Lindan ralliauto,61.50111389160156,23.80095100402832,Moving Target
Tilitoimisto Kosunen,61.50124755144261,23.800660420365805,Office
nieminen Oy- Talli,61.50098419189453,23.801347732543945,Factory
Jätskiauto,61.501254,23.812579,Ice Cream Shop
Majavapuisto,61.50120190161431,23.813467025756836,Playground
Tamhockey Oy,61.50107523563928,23.817519354831,Office
Tappara office,61.50082406109466,23.817972436234523,Sports Club
Tappara ry varusvarasto,61.50112,23.816992,Hobby Shop
Virran kämppä,61.50094338787442,23.817417846554175,Residential Building (Apartment / Condo)
Ykän auto,61.50083468499205,23.818273544311523,Taxi
Tappara taitoluistelu,61.500881,23.818495,Office
Ahmankatu 19,61.5009,23.8203,Residential Building (Apartment / Condo)
fifaluola,61.500736,23.822373,Soccer Field
Nallenpuisto,61.50113096925901,23.828352472752467,Park
Niemikatu 5,61.500567,23.742185,Residential Building (Apartment / Condo)
Höpönassunpesä,61.500166,23.741728,Residential Building (Apartment / Condo)
Niemikatu,61.500301,23.74253,Road
Amurin puisto,61.50015108834398,23.743008109180742,Park
Suokatu,61.500477,23.745592,Road
Kortelahdenkatu,61.50068839397207,23.745436588561823,Road
Osteopaatti Teemu Vänni,61.50046949679191,23.745148412720656,Spa
Amurinkatu,61.500353,23.744836,Road
Mummon autotalli,61.500407,23.746549,Gas Station
Toas Trikootalo,61.50017403066158,23.7479929625988,Residential Building (Apartment / Condo)
Diva Nails,61.50059036577783,23.74810877628521,Nail Salon
Amurinlinnan Huusholli,61.50058902007304,23.74932435106573,Daycare
M & M Pyörähuolto,61.50012927516573,23.75200951499279,Bike Shop
Big Tits,61.500280568317365,23.751862525131173,Strip Club
Erotic club,61.500689228931826,23.75145115134599,Strip Club
"Kerro, kerro kuvastin",61.500621,23.751228,Salon / Barbershop
Burzum Penthouse,61.500324,23.750896,Residential Building (Apartment / Condo)
Great Cut Academy,61.50014114379883,23.751678466796875,College Arts Building
Load up zone,61.500309,23.751906,Residential Building (Apartment / Condo)
Puistosali,61.50020039807154,23.751504154634336,Meeting Room
kö.parveke,61.500414084199676,23.750690522767837,Playground
Blanco,61.500155,23.752084,Salon / Barbershop
